表格 1,victim_AS,start_time,end_time,event_type,label,hijacker_AS,timstamp,timestamp
,45382,2019-10-31 11:15:08,,Possible Hijack,1,133441,1572491708000,1572520508
,45382,2019-12-10 16:13:00,2019-12-10 16:16:00,Outage,3,,1575965580000,1575994380
,45382,2019-12-19 18:13:11,,Possible Hijack,1,174,1576750391000,1576779191
,45459,2019-12-12 09:31:00,2019-12-12 09:35:00,Outage,3,,1576114260000,1576143060
,45474,2019-09-23 09:28:32,,BGP Leak,2,,1569202112000,1569230912
,45474,2020-02-09 06:13:12,,BGP Leak,2,,1581199992000,1581228792
,45539,2020-03-03 17:33:00,,Outage,3,,1583227980000,1583256780
,45543,2020-03-11 19:39:59,,BGP Leak,2,24088,1583926799000,1583955599
,45650,2019-12-27 12:21:00,2019-12-27 12:40:00,Outage,3,,1577420460000,1577449260
,45707,2019-08-29 16:06:00,,Outage,3,,1567065960000,1567094760
,45725,2019-09-08 04:35:00,,Outage,3,,1567888500000,1567917300
,45725,2019-11-07 13:20:00,2019-11-07 13:30:00,Outage,3,,1573104000000,1573132800
,45725,2019-11-14 07:22:00,,Outage,3,,1573687320000,1573716120
,45725,2020-02-18 23:40:37,,BGP Leak,2,55685,1582040437000,1582069237
,45733,2019-11-05 03:34:17,,BGP Leak,2,4809,1572896057000,1572924857
,45753,2020-02-06 12:23:31,,Possible Hijack,1,,1580963011000,1580991811
,45755,2019-12-16 04:28:41,,Possible Hijack,1,1221,1576441721000,1576470521
,45766,2020-02-10 22:02:57,,BGP Leak,2,17494,1581343377000,1581372177
,45769,2020-02-02 20:05:29,,BGP Leak,2,45582,1580645129000,1580673929
,45775,2019-12-06 11:14:00,2019-12-06 11:17:00,Outage,3,,1575602040000,1575630840
,45775,2020-02-11 09:39:00,2020-02-11 10:34:00,Outage,3,,1581385140000,1581413940
,45806,2020-01-24 14:37:24,,BGP Leak,2,132280,1579847844000,1579876644
,45854,2020-01-29 05:10:56,,BGP Leak,2,36678,1580245856000,1580274656
,45891,2019-08-31 14:36:00,,Outage,3,,1567233360000,1567262160
,45891,2019-09-15 07:36:00,2019-09-15 07:39:00,Outage,3,,1568504160000,1568532960
,45899,2020-03-11 08:01:33,,Possible Hijack,1,35805,1583884893000,1583913693
,45904,2019-09-04 12:10:00,,Outage,3,,1567570200000,1567599000
,45904,2019-09-30 06:28:00,,Outage,3,,1569796080000,1569824880
,45904,2019-10-20 05:17:00,,Outage,3,,1571519820000,1571548620
,45904,2019-11-05 12:49:00,,Outage,3,,1572929340000,1572958140
,45904,2019-11-27 11:25:00,,Outage,3,,1574825100000,1574853900
,45904,2019-11-28 18:10:00,,Outage,3,,1574935800000,1574964600
,45904,2019-12-03 12:07:00,,Outage,3,,1575346020000,1575374820
,45904,2019-12-06 11:13:00,2019-12-06 11:16:00,Outage,3,,1575601980000,1575630780
,45904,2019-12-26 09:47:00,,Outage,3,,1577324820000,1577353620
,45904,2019-12-29 08:59:51,,Possible Hijack,1,9927,1577581191000,1577609991
,45904,2020-03-07 10:44:00,2020-03-07 10:52:00,Outage,3,,1583549040000,1583577840
,45942,2019-12-19 17:36:00,,Outage,3,,1576748160000,1576776960
,45942,2020-01-25 10:31:00,,Outage,3,,1579919460000,1579948260
,45942,2020-02-08 13:35:00,2020-02-08 13:39:00,Outage,3,,1581140100000,1581168900
,45942,2020-02-21 09:51:00,2020-02-21 09:55:00,Outage,3,,1582249860000,1582278660
,45954,2019-12-15 05:22:00,,Outage,3,,1576358520000,1576387320
,46030,2020-01-08 03:20:00,2020-01-08 03:31:00,Outage,3,,1578424800000,1578453600
,46030,2020-01-09 01:02:00,2020-01-09 01:31:00,Outage,3,,1578502920000,1578531720
,46030,2020-01-10 12:05:00,,Outage,3,,1578629100000,1578657900
,46030,2020-01-11 00:40:00,,Outage,3,,1578674400000,1578703200
,46030,2020-01-11 04:20:00,,Outage,3,,1578687600000,1578716400
,46030,2020-01-13 01:05:00,2020-01-13 01:09:00,Outage,3,,1578848700000,1578877500
,46030,2020-03-06 10:57:00,,Outage,3,,1583463420000,1583492220
,46158,2019-08-28 10:00:00,2019-08-28 10:03:00,Outage,3,,1566957600000,1566986400
,46158,2019-09-12 09:55:00,2019-09-12 09:59:00,Outage,3,,1568253300000,1568282100
,46164,2019-12-13 22:23:00,2019-12-13 22:37:00,Outage,3,,1576246980000,1576275780
,46164,2020-02-05 08:13:00,,Outage,3,,1580861580000,1580890380
,46228,2020-03-05 09:39:58,,BGP Leak,2,30372,1583372398000,1583401198
,46238,2020-01-23 21:28:00,2020-01-23 21:31:00,Outage,3,,1579786080000,1579814880
,46263,2020-03-02 19:46:59,,BGP Leak,2,3910,1583149619000,1583178419
,46269,2020-01-11 05:41:51,,BGP Leak,2,36678,1578692511000,1578721311
,46273,2020-01-06 08:09:00,2020-01-06 08:16:00,Outage,3,,1578269340000,1578298140
,46342,2019-09-07 09:16:31,,BGP Leak,2,3910,1567818991000,1567847791
,46342,2019-11-10 04:28:02,,BGP Leak,2,3910,1573331282000,1573360082
,46342,2020-03-15 00:10:47,,BGP Leak,2,3910,1584202247000,1584231047
,46432,2019-11-26 14:04:20,,Possible Hijack,1,16437,1574748260000,1574777060
,46434,2020-01-12 13:28:02,,BGP Leak,2,3910,1578806882000,1578835682
,46484,2019-11-26 16:54:51,,BGP Leak,2,7754,1574758491000,1574787291
,46513,2020-01-27 23:17:16,,Possible Hijack,1,,1580138236000,1580167036
,46562,2020-02-06 02:29:01,,Possible Hijack,1,48964,1580927341000,1580956141
,46618,2019-11-29 13:54:58,,BGP Leak,2,5769,1575006898000,1575035698
,46618,2020-02-27 09:03:37,,BGP Leak,2,5769,1582765417000,1582794217
,46664,2019-11-29 17:53:11,,Possible Hijack,1,266445,1575021191000,1575049991
,46723,2019-09-06 21:08:00,,Outage,3,,1567775280000,1567804080
,46723,2019-09-07 09:49:00,,Outage,3,,1567820940000,1567849740
,46723,2019-09-27 11:58:00,,Outage,3,,1569556680000,1569585480
,47000,2019-11-01 03:26:33,,BGP Leak,2,22709,1572549993000,1572578793
,47000,2020-01-21 05:55:58,,BGP Leak,2,22709,1579557358000,1579586158
,47171,2020-02-12 14:53:48,,Possible Hijack,1,3549,1581490428000,1581519228
,47193,2020-01-30 20:39:15,,BGP Leak,2,44927,1580387955000,1580416755
,47217,2019-10-31 16:58:00,2019-10-31 17:07:00,Outage,3,,1572512280000,1572541080
,47285,2019-09-27 18:20:29,,Possible Hijack,1,41281,1569579629000,1569608429
