表格 1,victim_AS,start_time,end_time,event_type,label,hijacker_AS,timstamp,timestamp
,136352,2019-11-18 18:46:00,,Outage,3,,1574073960000,1574102760
,136352,2019-12-05 13:43:00,2019-12-05 13:46:00,Outage,3,,1575524580000,1575553380
,136352,2019-12-18 04:28:00,2019-12-18 04:31:00,Outage,3,,1576614480000,1576643280
,136352,2020-01-23 09:02:00,2020-01-23 09:05:00,Outage,3,,1579741320000,1579770120
,136352,2020-02-01 14:40:00,2020-02-01 14:48:00,Outage,3,,1580539200000,1580568000
,136352,2020-02-01 20:35:00,,Outage,3,,1580560500000,1580589300
,136352,2020-02-28 05:54:00,2020-02-28 05:57:00,Outage,3,,1582840440000,1582869240
,136393,2019-11-28 19:18:06,,BGP Leak,2,132876,1574939886000,1574968686
,136395,2020-01-20 17:02:10,,BGP Leak,2,17494,1579510930000,1579539730
,136425,2019-12-26 12:32:39,,BGP Leak,2,17494,1577334759000,1577363559
,136435,2020-02-13 12:26:35,,Possible Hijack,1,138912,1581567995000,1581596795
,136442,2019-11-04 05:39:39,,Possible Hijack,1,131267,1572817179000,1572845979
,136450,2019-12-26 12:33:30,,BGP Leak,2,17494,1577334810000,1577363610
,136477,2019-09-15 21:19:12,,BGP Leak,2,9498,1568553552000,1568582352
,136479,2020-01-07 07:03:22,,Possible Hijack,1,132471,1578351802000,1578380602
,136482,2019-12-26 12:33:30,,BGP Leak,2,17494,1577334810000,1577363610
,136519,2019-12-29 10:55:10,,Possible Hijack,1,64444,1577588110000,1577616910
,136525,2020-01-23 20:30:00,,Outage,3,,1579782600000,1579811400
,136525,2020-03-04 22:14:00,,Outage,3,,1583331240000,1583360040
,136555,2019-12-26 02:01:55,,BGP Leak,2,17494,1577296915000,1577325715
,136780,2020-01-04 10:59:59,,BGP Leak,2,134739,1578106799000,1578135599
,136782,2020-02-22 16:43:37,,Possible Hijack,1,24567,1582361017000,1582389817
,136783,2019-09-28 05:02:19,,BGP Leak,2,134739,1569618139000,1569646939
,136783,2019-11-16 09:59:48,,BGP Leak,2,134739,1573869588000,1573898388
,136783,2019-12-04 16:00:57,,BGP Leak,2,132167,1575446457000,1575475257
,136783,2019-12-24 12:31:13,,BGP Leak,2,134739,1577161873000,1577190673
,136783,2020-02-13 20:58:30,,BGP Leak,2,132167,1581598710000,1581627510
,136783,2020-02-26 10:26:14,,BGP Leak,2,136975,1582683974000,1582712774
,136869,2019-10-29 08:52:53,,BGP Leak,2,7473,1572310373000,1572339173
,136933,2020-02-02 14:14:04,,Possible Hijack,1,45305,1580624044000,1580652844
,136950,2019-11-15 20:06:07,,Possible Hijack,1,6134,1573819567000,1573848367
,136950,2020-01-16 13:43:46,,Possible Hijack,1,42960,1579153426000,1579182226
,136955,2019-12-10 18:23:00,,Possible Hijack,1,19324,1575973380000,1576002180
,136964,2020-01-03 08:04:05,,Possible Hijack,1,131610,1578009845000,1578038645
,136975,2019-11-24 20:48:45,,BGP Leak,2,45558,1574599725000,1574628525
,137020,2019-12-26 12:32:32,,BGP Leak,2,17494,1577334752000,1577363552
,137045,2019-09-01 05:41:52,,Possible Hijack,1,65546,1567287712000,1567316512
,137048,2020-02-09 14:48:09,,BGP Leak,2,17494,1581230889000,1581259689
,137059,2020-02-14 03:38:03,,BGP Leak,2,17494,1581622683000,1581651483
,137252,2020-02-16 05:04:31,,BGP Leak,2,17494,1581800671000,1581829471
,137274,2019-12-26 23:25:05,,BGP Leak,2,17494,1577373905000,1577402705
,137276,2019-09-08 06:16:05,,Possible Hijack,1,137278,1567894565000,1567923365
,137278,2019-12-26 04:50:31,,BGP Leak,2,17494,1577307031000,1577335831
,137373,2019-11-13 06:31:44,,Possible Hijack,1,24482,1573597904000,1573626704
,137373,2019-11-17 20:21:20,,Possible Hijack,1,63023,1573993280000,1574022080
,137385,2019-12-26 12:32:39,,BGP Leak,2,17494,1577334759000,1577363559
,137403,2020-02-14 23:59:54,,BGP Leak,2,17494,1581695994000,1581724794
,137406,2019-12-06 09:33:13,,BGP Leak,2,137406,1575595993000,1575624793
,137406,2019-12-17 17:43:56,,BGP Leak,2,,1576575836000,1576604636
,137406,2019-12-28 08:19:09,,BGP Leak,2,58453,1577492349000,1577521149
,137406,2020-02-27 07:42:45,,BGP Leak,2,18187,1582760565000,1582789365
,137443,2020-02-12 15:13:37,,Possible Hijack,1,263528,1581491617000,1581520417
,137443,2020-03-06 16:59:48,,BGP Leak,2,4809,1583485188000,1583513988
,137480,2019-12-24 15:23:12,,BGP Leak,2,17494,1577172192000,1577200992
,137480,2020-02-10 05:52:28,,BGP Leak,2,17494,1581285148000,1581313948
,137531,2019-12-24 10:58:48,,BGP Leak,2,17494,1577156328000,1577185128
,137542,2019-12-23 18:16:51,,BGP Leak,2,17494,1577096211000,1577125011
,137551,2020-02-17 08:31:51,,Possible Hijack,1,2,1581899511000,1581928311
,137584,2020-01-09 02:23:00,2020-01-09 02:42:00,Outage,3,,1578507780000,1578536580
,137584,2020-02-13 00:45:21,,BGP Leak,2,17494,1581525921000,1581554721
,137585,2020-02-10 04:31:33,,BGP Leak,2,17494,1581280293000,1581309093
,137687,2020-02-14 15:49:21,,Possible Hijack,1,20495,1581666561000,1581695361
,137703,2020-02-10 06:21:55,,BGP Leak,2,17494,1581286915000,1581315715
,137868,2019-12-26 12:33:30,,BGP Leak,2,17494,1577334810000,1577363610
,137868,2020-02-14 03:31:02,,BGP Leak,2,17494,1581622262000,1581651062
,137878,2019-09-03 07:56:25,,BGP Leak,2,45558,1567468585000,1567497385
,137878,2019-09-11 07:59:58,,BGP Leak,2,1299,1568159998000,1568188798
,137878,2019-12-11 21:40:42,,BGP Leak,2,45558,1576071642000,1576100442
,137882,2020-03-01 18:11:54,,Possible Hijack,1,140096,1583057514000,1583086314
,137915,2020-03-05 19:38:18,,Possible Hijack,1,26484,1583408298000,1583437098
,138022,2019-09-30 09:10:59,,BGP Leak,2,58601,1569805859000,1569834659
,138068,2019-08-29 02:53:00,,Outage,3,,1567018380000,1567047180
,138068,2019-09-01 01:02:00,2019-09-01 01:05:00,Outage,3,,1567270920000,1567299720
,138068,2019-10-31 06:20:00,2019-10-31 06:26:00,Outage,3,,1572474000000,1572502800
,138068,2019-12-05 03:43:00,2019-12-05 03:46:00,Outage,3,,1575488580000,1575517380
,138068,2019-12-31 13:05:00,2019-12-31 13:09:00,Outage,3,,1577768700000,1577797500
,138068,2020-01-12 07:45:00,,Outage,3,,1578786300000,1578815100
,138068,2020-02-07 23:46:00,,Outage,3,,1581090360000,1581119160
,138115,2020-01-04 16:21:01,,Possible Hijack,1,24482,1578126061000,1578154861
,138170,2020-02-12 14:07:52,,BGP Leak,2,17494,1581487672000,1581516472
,138192,2020-02-26 06:23:00,2020-02-26 06:31:00,Outage,3,,1582669380000,1582698180
,138357,2019-12-25 10:33:33,,BGP Leak,2,17494,1577241213000,1577270013
,138392,2020-03-10 20:40:00,,Outage,3,,1583844000000,1583872800
,138392,2020-03-11 03:00:00,,Outage,3,,1583866800000,1583895600
,138449,2019-09-23 11:38:14,,Possible Hijack,1,208780,1569209894000,1569238694
,138519,2020-03-04 13:32:37,,Possible Hijack,1,138517,1583299957000,1583328757
,138527,2020-02-20 03:28:42,,Possible Hijack,1,21859,1582140522000,1582169322
,138571,2020-01-20 07:32:15,,Possible Hijack,1,135386,1579476735000,1579505535
,138600,2019-11-12 14:22:51,,Possible Hijack,1,64001,1573539771000,1573568571
,138643,2019-09-18 16:21:55,,Possible Hijack,1,55933,1568794915000,1568823715
,138648,2020-01-17 11:30:27,,Possible Hijack,1,6,1579231827000,1579260627
,138730,2020-01-31 01:57:00,,Outage,3,,1580407020000,1580435820
,138730,2020-02-02 10:23:00,2020-02-02 10:26:00,Outage,3,,1580610180000,1580638980
,138730,2020-02-07 11:26:00,2020-02-07 11:29:00,Outage,3,,1581045960000,1581074760
,138730,2020-03-12 07:09:00,,Outage,3,,1583968140000,1583996940
,138881,2020-02-05 05:46:00,,Outage,3,,1580852760000,1580881560
,138881,2020-02-17 03:37:00,,Outage,3,,1581881820000,1581910620
,138944,2020-02-22 11:44:00,2020-02-22 11:47:00,Outage,3,,1582343040000,1582371840
,138944,2020-03-11 21:13:00,,Outage,3,,1583932380000,1583961180
,139007,2020-02-14 15:48:28,,Possible Hijack,1,20495,1581666508000,1581695308
,139013,2020-02-16 08:52:46,,Possible Hijack,1,65570,1581814366000,1581843166
,139018,2020-02-14 15:49:21,,Possible Hijack,1,20495,1581666561000,1581695361
,139043,2019-09-10 17:08:00,,Outage,3,,1568106480000,1568135280
,139043,2019-09-12 16:47:00,,Outage,3,,1568278020000,1568306820
,139043,2019-10-03 05:52:00,,Outage,3,,1570053120000,1570081920
,139043,2019-11-04 12:10:00,,Outage,3,,1572840600000,1572869400
,139043,2019-11-11 09:33:00,,Outage,3,,1573435980000,1573464780
,139043,2019-11-13 23:08:00,,Outage,3,,1573657680000,1573686480
,139043,2019-12-05 09:22:00,2019-12-05 09:25:00,Outage,3,,1575508920000,1575537720
,139043,2020-02-11 03:35:00,2020-02-11 03:38:00,Outage,3,,1581363300000,1581392100
,139070,2020-02-16 18:34:11,,Possible Hijack,1,37447,1581849251000,1581878051
,139196,2020-02-06 04:51:41,,Possible Hijack,1,133372,1580935901000,1580964701
,139297,2019-11-13 19:49:19,,Possible Hijack,1,25933,1573645759000,1573674559
,139789,2019-12-15 15:24:00,,Possible Hijack,1,209299,1576394640000,1576423440
,139797,2020-01-13 06:15:30,,Possible Hijack,1,131203,1578867330000,1578896130
,139833,2020-02-01 09:28:34,,Possible Hijack,1,135383,1580520514000,1580549314
,139879,2020-01-30 08:25:00,,Outage,3,,1580343900000,1580372700
,139879,2020-02-01 17:57:00,,Outage,3,,1580551020000,1580579820
,139879,2020-02-10 12:32:00,2020-02-10 12:35:00,Outage,3,,1581309120000,1581337920
,139879,2020-03-06 18:35:00,,Outage,3,,1583490900000,1583519700
,196635,2019-08-31 01:24:00,,Outage,3,,1567185840000,1567214640
,196635,2019-10-11 08:23:00,,Outage,3,,1570753380000,1570782180
,196691,2020-02-09 22:51:33,,BGP Leak,2,,1581259893000,1581288693
,196753,2019-09-29 04:26:02,,Possible Hijack,1,,1569702362000,1569731162
,196797,2019-12-04 06:02:00,2019-12-04 06:44:00,Outage,3,,1575410520000,1575439320
,196797,2020-01-24 05:00:00,2020-01-24 05:03:00,Outage,3,,1579813200000,1579842000
,196949,2019-10-30 00:24:00,,Outage,3,,1572366240000,1572395040
,197071,2019-09-06 02:08:00,2019-09-06 02:13:00,Outage,3,,1567706880000,1567735680
,197071,2019-09-10 11:43:00,,Outage,3,,1568086980000,1568115780
,197071,2020-03-12 02:03:00,2020-03-12 02:09:00,Outage,3,,1583949780000,1583978580
,197078,2019-12-19 00:41:00,2019-12-19 00:51:00,Outage,3,,1576687260000,1576716060
,197119,2019-08-30 00:42:54,,BGP Leak,2,12764,1567096974000,1567125774
,197119,2019-11-27 07:36:22,,BGP Leak,2,12764,1574811382000,1574840182
,197184,2019-12-23 18:45:44,,Possible Hijack,1,45102,1577097944000,1577126744
,197221,2019-11-12 14:36:55,,Possible Hijack,1,207244,1573540615000,1573569415
,197223,2019-11-09 06:13:00,,Outage,3,,1573251180000,1573279980
,197293,2019-08-31 11:21:00,,Outage,3,,1567221660000,1567250460
,197293,2019-08-31 15:44:00,2019-08-31 15:47:00,Outage,3,,1567237440000,1567266240
,197293,2019-10-02 12:54:00,2019-10-02 12:58:00,Outage,3,,1569992040000,1570020840
,197293,2019-10-10 00:20:00,,Outage,3,,1570638000000,1570666800
,197293,2019-12-17 13:05:00,2019-12-17 13:08:00,Outage,3,,1576559100000,1576587900
,197293,2019-12-22 19:30:00,2019-12-22 19:39:00,Outage,3,,1577014200000,1577043000
,197293,2020-01-29 01:00:00,,Outage,3,,1580230800000,1580259600
,197293,2020-03-04 09:51:00,2020-03-04 09:56:00,Outage,3,,1583286660000,1583315460
,197498,2019-10-29 10:44:09,,BGP Leak,2,31500,1572317049000,1572345849
,197522,2020-02-25 00:12:00,,Outage,3,,1582560720000,1582589520
,197562,2019-12-02 23:51:55,,Possible Hijack,1,60932,1575301915000,1575330715
,197650,2019-10-08 15:39:14,,Possible Hijack,1,61968,1570520354000,1570549154
,197695,2020-02-03 15:39:09,,Possible Hijack,1,262254,1580715549000,1580744349
,197706,2019-10-12 03:30:00,,Outage,3,,1570822200000,1570851000
,197719,2020-02-04 18:03:30,,BGP Leak,2,57344,1580810610000,1580839410
,197726,2020-03-03 13:45:00,2020-03-03 13:54:00,Outage,3,,1583214300000,1583243100
,197740,2019-11-29 09:49:12,,BGP Leak,2,,1574992152000,1575020952
,197745,2019-11-27 02:24:00,2019-11-27 02:30:00,Outage,3,,1574792640000,1574821440
,197848,2020-03-10 10:39:59,,BGP Leak,2,6830,1583807999000,1583836799
,197882,2019-11-13 11:23:00,,Outage,3,,1573615380000,1573644180
,197922,2020-02-22 09:00:00,,Outage,3,,1582333200000,1582362000
,198056,2019-12-17 21:41:00,2019-12-17 21:44:00,Outage,3,,1576590060000,1576618860
,198066,2019-12-27 11:50:37,,Possible Hijack,1,43988,1577418637000,1577447437
,198070,2019-12-10 14:39:33,,BGP Leak,2,12555,1575959973000,1575988773
,198102,2019-11-23 15:13:00,2019-11-23 15:19:00,Outage,3,,1574493180000,1574521980
,198144,2019-12-20 02:36:00,,Outage,3,,1576780560000,1576809360
,198193,2019-09-03 23:54:00,2019-09-03 23:58:00,Outage,3,,1567526040000,1567554840
,198193,2019-09-04 02:44:00,2019-09-04 02:56:00,Outage,3,,1567536240000,1567565040
,198357,2019-11-17 01:26:00,2019-11-17 02:03:00,Outage,3,,1573925160000,1573953960
,198357,2020-01-21 04:56:00,,Outage,3,,1579553760000,1579582560
,198381,2019-12-10 00:04:00,,Outage,3,,1575907440000,1575936240
,198381,2020-03-04 08:40:00,,Outage,3,,1583282400000,1583311200
,198381,2020-03-04 22:02:00,,Outage,3,,1583330520000,1583359320
,198394,2019-12-11 14:52:00,2019-12-11 14:58:00,Outage,3,,1576047120000,1576075920
,198394,2020-03-04 08:42:00,,Outage,3,,1583282520000,1583311320
,198436,2019-12-07 03:17:00,,Outage,3,,1575659820000,1575688620
,198442,2020-02-18 18:08:25,,Possible Hijack,1,50116,1582020505000,1582049305
,198479,2020-02-23 19:22:00,2020-02-23 19:25:00,Outage,3,,1582456920000,1582485720
,198489,2020-01-20 13:06:15,,BGP Leak,2,198709,1579496775000,1579525575
,198504,2019-12-11 14:52:00,,Outage,3,,1576047120000,1576075920
,198504,2020-03-04 08:42:00,,Outage,3,,1583282520000,1583311320
,198578,2019-10-30 09:17:37,,BGP Leak,2,56477,1572398257000,1572427057
,198589,2019-10-02 17:22:00,,Outage,3,,1570008120000,1570036920
,198589,2019-11-06 10:40:00,,Outage,3,,1573008000000,1573036800
