表格 1,victim_AS,start_time,end_time,event_type,label,hijacker_AS,timstamp,timestamp
,7713,2019-08-28 08:59:30,,BGP Leak,2,4809,1566953970000,1566982770
,7713,2019-09-28 18:06:42,,BGP Leak,2,4809,1569665202000,1569694002
,7713,2019-11-02 01:47:40,,BGP Leak,2,4809,1572630460000,1572659260
,7713,2020-01-05 08:33:49,,BGP Leak,2,4809,1578184429000,1578213229
,7713,2020-02-10 18:48:49,,BGP Leak,2,36678,1581331729000,1581360529
,7713,2020-03-04 09:55:43,,BGP Leak,2,4809,1583286943000,1583315743
,7726,2020-02-29 01:07:28,,Possible Hijack,1,4637,1582909648000,1582938448
,7862,2019-09-19 19:31:57,,BGP Leak,2,8359,1568892717000,1568921517
,7908,2019-10-20 17:35:00,,Possible Hijack,1,267789,1571564100000,1571592900
,7926,2019-09-22 00:03:43,,BGP Leak,2,7991,1569081823000,1569110623
,7926,2019-10-28 00:03:26,,BGP Leak,2,7991,1572192206000,1572221006
,7926,2019-11-28 00:14:39,,BGP Leak,2,7991,1574871279000,1574900079
,7926,2019-12-30 00:17:12,,BGP Leak,2,7991,1577636232000,1577665032
,7926,2020-01-30 03:25:18,,BGP Leak,2,7991,1580325918000,1580354718
,7926,2020-03-03 00:06:59,,BGP Leak,2,7991,1583165219000,1583194019
,7991,2019-09-20 12:52:59,,BGP Leak,2,3561,1568955179000,1568983979
,7991,2019-10-28 00:04:00,,BGP Leak,2,3561,1572192240000,1572221040
,7991,2019-11-28 00:14:48,,BGP Leak,2,3561,1574871288000,1574900088
,7991,2019-12-30 00:17:21,,BGP Leak,2,3561,1577636241000,1577665041
,7991,2020-01-30 03:26:01,,BGP Leak,2,3561,1580325961000,1580354761
,7991,2020-03-02 00:01:52,,BGP Leak,2,3561,1583078512000,1583107312
,8030,2019-11-20 05:07:00,,Outage,3,,1574197620000,1574226420
,8048,2020-02-19 21:22:51,,Possible Hijack,1,19429,1582118571000,1582147371
,8053,2019-12-01 13:09:00,,Outage,3,,1575176940000,1575205740
,8075,2019-09-23 11:38:14,,Possible Hijack,1,208780,1569209894000,1569238694
,8075,2019-10-03 22:17:19,,Possible Hijack,1,,1570112239000,1570141039
