表格 1,victim_AS,start_time,end_time,event_type,label,hijacker_AS,timstamp,timestamp
,2688,2020-01-21 19:41:42,,Possible Hijack,1,53158,1579606902000,1579635702
,2715,2020-01-17 17:28:00,,Outage,3,,1579253280000,1579282080
,2715,2020-02-27 17:14:00,2020-02-27 17:19:00,Outage,3,,1582794840000,1582823640
,2715,2020-02-29 16:56:00,,Outage,3,,1582966560000,1582995360
,2715,2020-02-29 19:06:00,,Outage,3,,1582974360000,1583003160
,2715,2020-03-04 18:46:00,2020-03-04 18:53:00,Outage,3,,1583318760000,1583347560
,2828,2019-10-12 12:27:14,,Possible Hijack,1,134196,1570854434000,1570883234
,2854,2020-02-07 12:17:07,,Possible Hijack,1,2008008,1581049027000,1581077827
,2872,2020-03-03 02:36:39,,BGP Leak,2,1273,1583174199000,1583202999
,2882,2019-10-12 12:35:00,,Outage,3,,1570854900000,1570883700
,2882,2019-11-23 12:37:00,,Outage,3,,1574483820000,1574512620
,2901,2019-08-29 14:40:00,2019-08-29 14:45:00,Outage,3,,1567060800000,1567089600
,2914,2019-11-29 17:54:12,,Possible Hijack,1,266445,1575021252000,1575050052
,2920,2020-02-26 08:53:00,2020-02-26 08:57:00,Outage,3,,1582678380000,1582707180
,2920,2020-03-10 06:22:00,2020-03-10 06:25:00,Outage,3,,1583792520000,1583821320
,3130,2019-09-12 19:17:37,,Possible Hijack,1,58364,1568287057000,1568315857
,3132,2020-02-12 23:07:39,,BGP Leak,2,49367,1581520059000,1581548859
,3178,2019-11-25 02:49:00,2019-11-25 02:52:00,Outage,3,,1574621340000,1574650140
,3178,2019-11-28 23:21:00,,Outage,3,,1574954460000,1574983260
,3178,2019-12-06 20:26:00,2019-12-06 20:30:00,Outage,3,,1575635160000,1575663960
,3178,2019-12-22 19:11:00,,Outage,3,,1577013060000,1577041860
,3188,2019-11-20 00:24:00,,Outage,3,,1574180640000,1574209440
,3204,2019-11-12 07:52:00,2019-11-12 07:55:00,Outage,3,,1573516320000,1573545120
,3209,2020-03-06 05:51:45,,Possible Hijack,1,702,1583445105000,1583473905
,3214,2019-12-26 07:40:51,,Possible Hijack,1,2147483647,1577317251000,1577346051
,3215,2019-11-09 06:43:38,,Possible Hijack,1,,1573253018000,1573281818
,3215,2019-11-26 06:49:35,,Possible Hijack,1,12252,1574722175000,1574750975
,3215,2019-12-14 05:49:00,,Possible Hijack,1,60148,1576273740000,1576302540
,3215,2020-02-14 12:47:09,,Possible Hijack,1,11664,1581655629000,1581684429
,3257,2019-11-14 08:20:55,,Possible Hijack,1,48028,1573690855000,1573719655
,3257,2019-12-30 11:10:24,,Possible Hijack,1,205527,1577675424000,1577704224
,3269,2020-01-07 18:04:25,,Possible Hijack,1,58150,1578391465000,1578420265
,3281,2019-11-26 02:39:51,,BGP Leak,2,9002,1574707191000,1574735991
,3292,2019-12-13 08:57:17,,Possible Hijack,1,200088,1576198637000,1576227437
,3301,2020-02-07 02:25:06,,Possible Hijack,1,29648,1581013506000,1581042306
,3320,2019-11-19 14:29:21,,Possible Hijack,1,50467,1574144961000,1574173761
,3320,2019-11-21 13:17:30,,Possible Hijack,1,7029,1574313450000,1574342250
,3352,2020-01-07 12:28:37,,Possible Hijack,1,174,1578371317000,1578400117
,3356,2020-01-27 23:17:17,,Possible Hijack,1,,1580138237000,1580167037
,3356,2020-02-13 16:20:08,,Possible Hijack,1,201338,1581582008000,1581610808
,3375,2020-01-10 07:31:00,,Outage,3,,1578612660000,1578641460
,3378,2020-01-10 07:31:52,,BGP Leak,2,703,1578612712000,1578641512
,3462,2019-12-11 20:23:02,,Possible Hijack,1,29648,1576066982000,1576095782
,3474,2019-09-16 04:45:00,2019-09-16 04:48:00,Outage,3,,1568580300000,1568609100
,3474,2020-02-12 22:47:00,,Outage,3,,1581518820000,1581547620
,3549,2019-09-30 18:58:34,,Possible Hijack,1,264628,1569841114000,1569869914
,3549,2019-11-02 05:20:00,,Possible Hijack,1,26617,1572643200000,1572672000
,3549,2019-12-07 18:45:48,,Possible Hijack,1,203177,1575715548000,1575744348
,3573,2019-12-09 20:54:29,,Possible Hijack,1,60266,1575896069000,1575924869
,3573,2019-12-30 07:18:38,,Possible Hijack,1,4515,1577661518000,1577690318
,3583,2020-01-03 18:46:00,2020-01-03 18:53:00,Outage,3,,1578048360000,1578077160
,3596,2019-11-05 06:41:00,2019-11-05 06:57:00,Outage,3,,1572907260000,1572936060
,3633,2019-08-29 08:14:00,2019-08-29 08:17:00,Outage,3,,1567037640000,1567066440
,3633,2019-12-12 11:00:00,2019-12-12 11:03:00,Outage,3,,1576119600000,1576148400
,3769,2019-10-13 18:58:43,,Possible Hijack,1,52871,1570964323000,1570993123
,3786,2019-11-29 17:41:57,,Possible Hijack,1,266445,1575020517000,1575049317
,3786,2019-12-05 11:20:01,,Possible Hijack,1,9784,1575516001000,1575544801
,3786,2020-01-03 20:58:51,,Possible Hijack,1,37468,1578056331000,1578085131
,3790,2019-10-08 15:30:46,,Possible Hijack,1,52468,1570519846000,1570548646
,3910,2019-11-09 08:59:29,,Possible Hijack,1,27947,1573261169000,1573289969
,3910,2019-11-19 19:27:49,,Possible Hijack,1,1221,1574162869000,1574191669
,3910,2019-12-19 03:42:04,,Possible Hijack,1,139739,1576698124000,1576726924
,3955,2020-01-09 16:39:39,,BGP Leak,2,13649,1578559179000,1578587979
,3955,2020-02-26 09:23:37,,Possible Hijack,1,9498,1582680217000,1582709017
,4134,2019-09-23 11:38:14,,Possible Hijack,1,208780,1569209894000,1569238694
,4134,2019-10-14 12:06:58,,Possible Hijack,1,8953,1571026018000,1571054818
,4134,2019-11-01 07:18:53,,Possible Hijack,1,,1572563933000,1572592733
,4134,2019-11-19 23:44:52,,Possible Hijack,1,32329,1574178292000,1574207092
,4134,2020-01-03 18:34:41,,Possible Hijack,1,37468,1578047681000,1578076481
,4134,2020-02-21 16:15:54,,Possible Hijack,1,263783,1582272954000,1582301754
,4249,2020-01-27 23:17:17,,Possible Hijack,1,,1580138237000,1580167037
,4249,2020-01-28 19:50:29,,Possible Hijack,1,53062,1580212229000,1580241029
,4249,2020-03-13 08:19:44,,Possible Hijack,1,264952,1584058784000,1584087584
,4274,2019-09-02 08:44:00,2019-09-02 08:51:00,Outage,3,,1567385040000,1567413840
,4274,2019-10-10 06:59:00,2019-10-10 07:19:00,Outage,3,,1570661940000,1570690740
,4274,2019-11-02 01:52:00,,Outage,3,,1572630720000,1572659520
,4323,2019-09-06 15:51:00,,Outage,3,,1567756260000,1567785060
,4324,2019-08-29 17:52:00,2019-08-29 18:02:00,Outage,3,,1567072320000,1567101120
,4324,2019-09-12 17:52:00,,Outage,3,,1568281920000,1568310720
,4324,2019-09-30 02:24:00,2019-09-30 02:33:00,Outage,3,,1569781440000,1569810240
,4324,2019-11-16 08:27:00,,Outage,3,,1573864020000,1573892820
,4324,2019-11-16 23:33:00,2019-11-17 00:49:00,Outage,3,,1573918380000,1573947180
,4382,2020-02-17 14:57:00,,Outage,3,,1581922620000,1581951420
,4382,2020-02-18 07:48:00,2020-02-18 07:51:00,Outage,3,,1581983280000,1582012080
,4382,2020-02-18 10:32:00,,Outage,3,,1581993120000,1582021920
,4454,2020-03-03 06:46:00,2020-03-03 07:04:00,Outage,3,,1583189160000,1583217960
,4515,2019-09-19 09:45:31,,BGP Leak,2,38235,1568857531000,1568886331
,4515,2019-10-29 07:37:35,,BGP Leak,2,38235,1572305855000,1572334655
,4538,2019-09-24 06:34:47,,Possible Hijack,1,9927,1569278087000,1569306887
,4538,2020-02-24 10:24:00,,Outage,3,,1582511040000,1582539840
,4589,2019-10-14 17:21:16,,Possible Hijack,1,2147483647,1571044876000,1571073676
,4589,2020-02-22 15:13:50,,Possible Hijack,1,2686,1582355630000,1582384430
,4613,2019-12-27 12:21:00,2019-12-27 12:40:00,Outage,3,,1577420460000,1577449260
,4637,2019-11-30 02:00:40,,Possible Hijack,1,10753,1575050440000,1575079240
,4637,2019-12-06 17:45:51,,BGP Leak,2,38195,1575625551000,1575654351
,4680,2020-01-03 12:58:21,,Possible Hijack,1,37468,1578027501000,1578056301
,4694,2020-01-04 12:15:31,,Possible Hijack,1,37468,1578111331000,1578140131
,4725,2019-09-23 08:27:46,,Possible Hijack,1,4809,1569198466000,1569227266
,4725,2020-01-03 23:41:45,,Possible Hijack,1,37468,1578066105000,1578094905
,4725,2020-03-13 08:08:10,,Possible Hijack,1,24143,1584058090000,1584086890
,4759,2019-12-11 13:22:00,2019-12-11 13:34:00,Outage,3,,1576041720000,1576070520
,4760,2019-08-29 14:40:24,,Possible Hijack,1,134190,1567060824000,1567089624
,4766,2019-10-25 09:01:47,,Possible Hijack,1,,1571965307000,1571994107
,4766,2019-12-13 15:58:26,,Possible Hijack,1,9772,1576223906000,1576252706
,4780,2019-09-04 01:27:14,,Possible Hijack,1,136782,1567531634000,1567560434
,4788,2019-11-14 16:42:16,,BGP Leak,2,56111,1573720936000,1573749736
,4788,2019-11-29 17:41:57,,Possible Hijack,1,266445,1575020517000,1575049317
,4788,2020-03-13 08:08:08,,Possible Hijack,1,24143,1584058088000,1584086888
,4837,2019-09-15 16:03:50,,Possible Hijack,1,45903,1568534630000,1568563430
,4837,2019-12-16 21:32:58,,Possible Hijack,1,7713,1576503178000,1576531978
,4847,2019-09-14 03:40:07,,Possible Hijack,1,55355,1568403607000,1568432407
,4847,2020-01-23 11:26:24,,Possible Hijack,1,18190,1579749984000,1579778784
,4847,2020-02-09 21:42:01,,BGP Leak,2,17494,1581255721000,1581284521
,4855,2019-09-09 05:26:00,,Outage,3,,1567977960000,1568006760
,4855,2019-11-11 04:42:00,2019-11-11 04:57:00,Outage,3,,1573418520000,1573447320
,4855,2019-11-26 12:50:00,,Outage,3,,1574743800000,1574772600
,4855,2020-01-08 08:25:00,2020-01-08 08:29:00,Outage,3,,1578443100000,1578471900
,4855,2020-03-05 16:10:00,,Outage,3,,1583395800000,1583424600
,4906,2020-01-02 17:03:21,,Possible Hijack,1,41436,1577955801000,1577984601
,4906,2020-01-19 05:44:05,,Possible Hijack,1,204548,1579383845000,1579412645
,5237,2019-11-07 19:03:00,2019-11-07 19:09:00,Outage,3,,1573124580000,1573153380
,5237,2020-02-23 03:16:01,,Possible Hijack,1,8393845,1582398961000,1582427761
,5377,2020-01-16 09:00:51,,Possible Hijack,1,43905,1579136451000,1579165251
,5391,2019-11-01 11:01:05,,Possible Hijack,1,6453,1572577265000,1572606065
,5403,2019-12-12 09:21:00,2019-12-12 09:51:00,Outage,3,,1576113660000,1576142460
,5410,2020-01-28 12:04:00,2020-01-28 12:15:00,Outage,3,,1580184240000,1580213040
,5410,2020-01-28 22:07:00,,Outage,3,,1580220420000,1580249220
,5410,2020-03-12 11:56:00,,Outage,3,,1583985360000,1584014160
,5484,2019-11-16 17:28:00,2019-11-16 17:42:00,Outage,3,,1573896480000,1573925280
,5484,2019-11-18 05:16:00,,Outage,3,,1574025360000,1574054160
,5484,2019-11-21 12:28:00,2019-11-21 12:32:00,Outage,3,,1574310480000,1574339280
,5484,2019-11-24 13:08:00,2019-11-24 13:11:00,Outage,3,,1574572080000,1574600880
,5484,2019-12-06 15:03:00,2019-12-06 15:07:00,Outage,3,,1575615780000,1575644580
,5484,2020-01-28 09:12:00,,Outage,3,,1580173920000,1580202720
,5484,2020-03-03 05:31:00,2020-03-03 05:34:00,Outage,3,,1583184660000,1583213460
,5488,2019-11-17 23:13:15,,Possible Hijack,1,8983,1574003595000,1574032395
,5495,2019-09-15 08:21:00,2019-09-15 08:53:00,Outage,3,,1568506860000,1568535660
,5495,2019-09-24 06:09:00,2019-09-24 06:15:00,Outage,3,,1569276540000,1569305340
,5495,2019-09-25 00:15:00,2019-09-25 00:19:00,Outage,3,,1569341700000,1569370500
,5495,2019-09-26 10:35:00,,Outage,3,,1569465300000,1569494100
,5504,2019-12-18 01:12:00,2019-12-18 01:16:00,Outage,3,,1576602720000,1576631520
,5504,2019-12-23 01:20:00,2019-12-23 01:26:00,Outage,3,,1577035200000,1577064000
,5518,2020-01-02 14:46:06,,Possible Hijack,1,48113,1577947566000,1577976366
,5532,2019-12-12 15:16:00,,Outage,3,,1576134960000,1576163760
,5541,2019-09-25 15:41:00,,Outage,3,,1569397260000,1569426060
,5541,2020-03-02 09:25:39,,Possible Hijack,1,,1583112339000,1583141139
,5552,2019-11-14 17:50:04,,Possible Hijack,1,3356,1573725004000,1573753804
,5588,2020-02-29 10:18:09,,Possible Hijack,1,20,1582942689000,1582971489
,5639,2019-11-29 14:52:10,,Possible Hijack,1,22870,1575010330000,1575039130
,5650,2020-02-08 13:08:48,,Possible Hijack,1,53062,1581138528000,1581167328
,5800,2019-08-29 18:15:00,,Outage,3,,1567073700000,1567102500
,6058,2020-01-15 16:23:00,2020-01-15 16:35:00,Outage,3,,1579076580000,1579105380
,6086,2019-09-10 13:00:00,,Outage,3,,1568091600000,1568120400
,6086,2019-11-10 10:27:00,,Outage,3,,1573352820000,1573381620
,6086,2019-11-11 22:13:00,,Outage,3,,1573481580000,1573510380
,6086,2019-11-22 03:22:00,2019-11-22 03:26:00,Outage,3,,1574364120000,1574392920
,6086,2020-01-21 19:43:00,,Outage,3,,1579606980000,1579635780
,6086,2020-01-25 08:35:00,,Outage,3,,1579912500000,1579941300
,6086,2020-01-25 11:47:00,,Outage,3,,1579924020000,1579952820
,6086,2020-01-28 15:13:00,,Outage,3,,1580195580000,1580224380
,6086,2020-01-31 07:28:00,,Outage,3,,1580426880000,1580455680
,6086,2020-01-31 12:20:00,2020-01-31 13:04:00,Outage,3,,1580444400000,1580473200
,6086,2020-02-01 19:40:00,,Outage,3,,1580557200000,1580586000
,6086,2020-02-03 23:22:00,,Outage,3,,1580743320000,1580772120
,6086,2020-02-06 18:28:00,,Outage,3,,1580984880000,1581013680
,6086,2020-02-17 13:14:00,,Outage,3,,1581916440000,1581945240
,6086,2020-02-27 21:27:00,,Outage,3,,1582810020000,1582838820
,6233,2019-12-23 12:35:59,,Possible Hijack,1,41378,1577075759000,1577104559
,6453,2019-12-12 15:56:45,,Possible Hijack,1,207786,1576137405000,1576166205
,6453,2020-01-24 13:47:34,,BGP Leak,2,37529,1579844854000,1579873654
,6500,2020-02-05 17:01:20,,Possible Hijack,1,5831,1580893280000,1580922080
,6551,2019-12-05 22:04:00,,Outage,3,,1575554640000,1575583440
,6584,2019-12-17 14:39:25,,Possible Hijack,1,8073,1576564765000,1576593565
,6591,2019-09-11 05:00:00,2019-09-11 05:16:00,Outage,3,,1568149200000,1568178000
,6591,2019-11-08 07:06:00,2019-11-08 07:13:00,Outage,3,,1573167960000,1573196760
,6591,2019-12-19 04:54:00,,Outage,3,,1576702440000,1576731240
,6591,2020-01-15 03:20:00,2020-01-15 03:34:00,Outage,3,,1579029600000,1579058400
,6591,2020-02-25 06:34:00,,Outage,3,,1582583640000,1582612440
,6591,2020-03-06 17:41:00,,Outage,3,,1583487660000,1583516460
,6619,2020-01-03 14:13:05,,Possible Hijack,1,37468,1578031985000,1578060785
,6659,2019-11-11 22:59:40,,Possible Hijack,1,3257,1573484380000,1573513180
,6698,2019-11-29 17:53:37,,Possible Hijack,1,266445,1575021217000,1575050017
,6718,2020-02-15 06:15:04,,Possible Hijack,1,34481,1581718504000,1581747304
,6789,2019-12-24 10:40:59,,Possible Hijack,1,8219,1577155259000,1577184059
,6789,2020-01-21 15:33:00,2020-01-21 15:36:00,Outage,3,,1579591980000,1579620780
,6823,2020-01-24 23:10:00,,Outage,3,,1579878600000,1579907400
,6830,2019-09-27 08:20:08,,Possible Hijack,1,702,1569543608000,1569572408
,6830,2019-11-30 06:07:16,,Possible Hijack,1,42667,1575065236000,1575094036
,6874,2019-09-22 07:22:46,,BGP Leak,2,196691,1569108166000,1569136966
,6879,2020-02-27 02:22:00,,Outage,3,,1582741320000,1582770120
